,date,case,day
36,08/03/2020,3,1
35,09/03/2020,0,2
34,10/03/2020,0,3
33,11/03/2020,0,4
32,12/03/2020,0,5
31,13/03/2020,0,6
30,14/03/2020,0,7
29,15/03/2020,2,8
28,16/03/2020,3,9
27,17/03/2020,2,10
26,18/03/2020,4,11
25,19/03/2020,3,12
24,20/03/2020,3,13
23,21/03/2020,4,14
22,22/03/2020,3,15
21,23/03/2020,6,16
20,24/03/2020,6,17
19,25/03/2020,0,18
18,26/03/2020,5,19
17,27/03/2020,4,20
16,28/03/2020,0,21
15,29/03/2020,0,22
14,30/03/2020,1,23
13,31/03/2020,2,24
12,01/04/2020,3,25
11,02/04/2020,2,26
10,03/04/2020,5,27
9,04/04/2020,9,28
8,05/04/2020,18,29
7,06/04/2020,35,30
6,07/04/2020,41,31
5,08/04/2020,54,32
4,09/04/2020,112,33
3,10/04/2020,94,34
2,11/04/2020,58,35
1,12/04/2020,139,36
0,13/04/2020,182,37
