Division,District/City,Total,Division
Dhaka,Dhaka City,843,843
"",Dhaka (District),34,763
"",Gazipur,161,
"",Kishoreganj,54,
"",Madaripur,25,
"",Manikganj,6,
"",Narayanganj,309,
"",Munshigonj,33,
"",Narshingdi,93,
"",Rajbari,7,
"",Faridpur,4,
"",Tangail,9,
"",Shariatpur,7,
"",Gopalganj,21,
Chattogram,Chattogram,38,97
"",Cox’s bazar,1,
"",Cumilla,17,
"",B. Baria,10,
"",Laksmipur,18,
"",Bandarban,1,
"",Noakhali,3,
"",Feni,1,
"",Chandpur,8,
Sylhet,Moulovi Bazar,2,7
"",Sunamganj,1,
"",Hobiganj,1,
"",Sylhet,3,
Rangpur,Rangpur,3,44
"",Gaibandha,12,
"",Nilphamari,9,
"",Lalmonirhat,2,
"",Kurigram,2,
"",Dinajpur,9,
"",Panchagar,1,
"",Rangpur,1,
"",Thakurgaon,5,
Khulna,Khulna,1,6
"",Jessore,1,
"",Bagerhat,1,
"",Narail,2,
"",Chuadanga,1,
Mymensingh,Mymensingh,19,59
"",Jamalpur,17,
"",Netrokona,12,
"",Sherpur,11,
Barishal,Barguna,9,36
"",Barishal,18,
"",Potuakhali,2,
"",Pirojpur,4,
"",Jhalokathi,3,
Rajshahi,Joypurhat,2,8
Pabna,1,,
Bogra,1,,
Rajshahi,4,,
Location,Total
Adabor,5
Agargaon,5
Armanitola,1
Ashkona,1
Azimpur,13
Babu Bazar,11
Badda,8
Baily Road,3
Banani,8
Bangshal,16
Banianagar,1
Basabo,17
Bashundhora,6
Begunbari,1
Begum Bazar,1
Beribadh,1
Bokshi Bazar,1
Bosila,1
Buet Area,1
Cantonment,1
Central Road,1
Chankharpool,7
Chawk Bazar,12
Dhakkeshori,1
Demra,3
Dhanmondi,21
Dholaikhal,1
Doyaganj,1
Eskaton,6
Faridabagh,1
Farmgate,1
Gendaria,16
Goran,1
Gopibag,3
Green Road,10
Gulistan,3
Gulshan,14
Hatir jhil,1
Hatirpool,3
Hazaribagh,16
Islampur,2
Jailgate,2
Jatrabari,25
Jigatala,5
Jurain,3
Kallyanpur,2
Kamrangir Char,4
Kazi para,3
Kawran Bazar,1
Kochukhet,1
Khilgaon,2
Khilkhet,1
Koltabazar,1
Kodomtoli,2
Kotowali,4
Kuril,1
Lalbagh,23
Laxmibazar,5
Malitola,1
Malibagh,4
Manikdi,1
Matuail,1
Mirhajaribagh,2
Mirpur-1,8
Mirpur-6,3
Mirpur-10,7
Mirpur-11,13
Mirpur-12,11
Mirpur-13,2
Mirpur-14,6
Mitford,26
Mogbazar,11
Mohakhali,12
Mohonpur,1
Mohammadpur,34
Motijeel,1
Mugda,3
Nawabpur,1
Nawabganj,2
Narinda,3
Nakhalpara,5
Neemtoli,4
Nikunja,1
Pirerbagh,2
Purana Paltan,2
Rajarbagh,13
Rampura,4
Ramna,5
Rayerbagh,1
Raja Bazar,1
Rayerbazar,1
Sabujbagh,2
Sadarghat,1
Sayedabad,1
Science Lab,1
Shah Ali Bagh,2
Shahbag,6
Shakharibazar,10
Shantibagh,1
Shampur,1
Shantinagar,8
Shaymoli,7
Shewrapara,1
Shekher Tek,1
Showari Ghat,3
Siddheshwari,3
Sonir akhra,1
Sutrapur,9
Tejgaon,16
Tezturi Bazar,1
Tolarbag,19
Urdu Road,1
Uttara,23
Vatara,1
Wari,28
