Unnamed: 0,ObservationDate,Confirmed,Deaths,Recovered
0,1/22/2020,555,17,28
1,1/23/2020,653,18,30
2,1/24/2020,941,26,36
3,1/25/2020,1438,42,39
4,1/26/2020,2118,56,52
5,1/27/2020,2927,82,61
6,1/28/2020,5578,131,107
7,1/29/2020,6165,133,126
8,1/30/2020,8235,171,143
9,1/31/2020,9925,213,222
10,2/1/2020,12038,259,284
11,2/2/2020,16787,362,472
12,2/3/2020,19881,426,623
13,2/4/2020,23892,492,852
14,2/5/2020,27636,564,1124
15,2/6/2020,30818,634,1487
16,2/7/2020,34392,719,2011
17,2/8/2020,37121,806,2616
18,2/9/2020,40151,906,3244
19,2/10/2020,42763,1013,3946
20,2/11/2020,44803,1113,4683
21,2/12/2020,45222,1118,5150
22,2/13/2020,60370,1371,6295
23,2/14/2020,66887,1523,8058
24,2/15/2020,69032,1666,9395
25,2/16/2020,71226,1770,10865
26,2/17/2020,73260,1868,12583
27,2/18/2020,75138,2007,14352
28,2/19/2020,75641,2122,16121
29,2/20/2020,76199,2247,18177
30,2/21/2020,76843,2251,18890
31,2/22/2020,78599,2458,22886
32,2/23/2020,78985,2469,23394
33,2/24/2020,79570,2629,25227
34,2/25/2020,80415,2708,27905
35,2/26/2020,81397,2770,30384
36,2/27/2020,82756,2814,33277
37,2/28/2020,84124,2872,36711
38,2/29/2020,86013,2941,39782
39,3/1/2020,88371,2996,42716
40,3/2/2020,90309,3085,45602
41,3/3/2020,92844,3160,48229
42,3/4/2020,95124,3254,51171
43,3/5/2020,97886,3348,53797
44,3/6/2020,101800,3460,55866
45,3/7/2020,105836,3558,58359
46,3/8/2020,109835,3803,60695
47,3/9/2020,113582,3996,62512
48,3/10/2020,118582,4262,64404
49,3/11/2020,125865,4615,67003
50,3/12/2020,128343,4720,68324
51,3/13/2020,145193,5404,70251
52,3/14/2020,156099,5819,72624
53,3/15/2020,167447,6440,76034
54,3/16/2020,181546,7126,78088
55,3/17/2020,197168,7905,80840
56,3/18/2020,214915,8733,83313
57,3/19/2020,242713,9867,84962
58,3/20/2020,272167,11299,87403
59,3/21/2020,304549,12973,91676
60,3/22/2020,337122,14623,97243
61,3/23/2020,378287,16497,100958
62,3/24/2020,417966,18615,107705
63,3/25/2020,467594,21181,113770
64,3/26/2020,529591,23970,122150
65,3/27/2020,593291,27198,130915
66,3/28/2020,660693,30652,139415
67,3/29/2020,720140,33925,149082
68,3/30/2020,782389,37582,164566
69,3/31/2020,857487,42107,178034
70,4/1/2020,932605,46809,193177
71,4/2/2020,1013303,52983,210263
72,4/3/2020,1095917,58787,225796
73,4/4/2020,1197408,64606,246152
74,4/5/2020,1272115,69374,260012
75,4/6/2020,1345101,74565,276515
76,4/7/2020,1426096,81865,300054
77,4/8/2020,1511104,88338,328661
78,4/9/2020,1595350,95455,353975
79,4/10/2020,1691719,102525,376096
80,4/11/2020,1779842,108780,402709
81,4/12/2020,1852365,114197,423399
82,4/13/2020,1923937,119618,446336
83,4/14/2020,2001681,130379,478594
84,4/15/2020,2086332,138474,510122
85,04/16/2020,2134465,142148,540656
