,id,displayName,totalConfirmed,totalDeaths,totalRecovered,totalRecoveredEntryday,totalDeathsEntryday,totalConfirmedEntryday,entryDatetime,lattitude,longitude,parentId
0,USA,মার্কিন যুক্তরাষ্ট্র,706880,34256,50352,1660,0,31637,2020-04-18 07:18:02,39.495914459228516,-98.98998260498047,world
1,spain,স্পেন,190859,19482,74797,0,451,5252,2020-04-18 07:18:02,40.3876953125,-3.5573909282684326,world
2,italy,ইতালি,172434,22745,42727,2563,575,3493,2020-04-18 07:18:02,43.529029846191406,12.16218376159668,world
3,germany,জার্মানি,141448,4176,0,0,263,3195,2020-04-18 07:18:02,51.12180709838867,10.400694847106934,world
4,france,ফ্রান্স,109252,18681,34420,1608,761,405,2020-04-18 07:18:02,46.62184143066406,2.45194411277771,world
5,UK,ইউনাইটেড কিংডম,108692,7412,0,0,107,724,2020-04-18 07:18:02,53.9438362121582,-2.5505640506744385,world
6,china,চীন (মেনল্যান্ড),88242,3275,70578,145,0,107,2020-04-18 07:18:02,36.563114166259766,103.73580932617188,world
7,iran,ইরান,79494,0,0,0,0,68,2020-04-18 07:18:02,32.56426239013672,54.303672790527344,world
8,turkey,তুর্কি,78546,1769,8631,2957,251,9154,2020-04-18 07:18:02,39.05101013183594,34.93033981323242,world
9,russia,রাশিয়া,37055,234,2462,0,0,0,2020-04-18 07:18:02,61.76019287109375,99.87684631347656,world
10,belgium,বেলজিয়াম,36138,5163,7961,399,306,1329,2020-04-18 07:18:02,50.64118576049805,4.660569190979004,world
11,brazil,ব্রাজিল,34221,2141,0,0,0,0,2020-04-18 07:18:02,-10.7767972946167,-53.06805419921875,world
12,canada,কানাডা,31927,1309,10543,842,116,1829,2020-04-18 07:18:02,62.536041259765625,-96.38835144042969,world
13,netherlands,নেদারল্যান্ডস,30449,0,0,0,0,0,2020-04-18 07:18:02,52.34225845336914,5.5281572341918945,world
14,switzerland,সুইজারল্যান্ড,27078,1307,582,254,46,280,2020-04-18 07:18:02,46.800209045410156,8.229198455810547,world
15,portugal,পোর্তুগাল,19022,657,0,0,0,0,2020-04-18 07:18:02,39.679908752441406,-7.96866512298584,world
16,austria,অস্ট্রিয়া,14595,410,8986,0,0,0,2020-04-18 07:18:02,47.58708572387695,14.14128589630127,world
17,india,ভারত,14425,479,1952,239,38,799,2020-04-18 07:18:02,22.493118286132812,79.72701263427734,world
18,ireland,আয়ারল্যান্ড,13980,530,0,0,86,1433,2020-04-18 07:18:02,53.18498611450195,-8.146889686584473,world
