,id,displayName,totalConfirmed,totalDeaths,totalRecovered,totalRecoveredEntryday,totalDeathsEntryday,totalConfirmedEntryday,entryDatetime,lattitude,longitude,parentId
0,USA,মার্কিন যুক্তরাষ্ট্র,533259,20597,31917,2924,1834,28479,2020-04-12 06:26:20,39.495914459228516,-98.98998260498047,world
1,spain,স্পেন,163027,16606,59109,3441,525,4754,2020-04-12 06:26:20,40.387696,-3.557391,world
2,italy,ইতালি,152271,19468,32534,2089,619,4694,2020-04-12 06:26:20,43.529029846191406,12.16218376159668,world
3,germany,জার্মানি,125452,2871,51853,9698,164,3237,2020-04-12 06:26:20,51.121806,10.400695,world
4,france,ফ্রান্স,93790,13832,26391,1459,635,0,2020-04-12 06:26:20,46.62184,2.451944,world
5,china,চীন (মেনল্যান্ড),82052,3339,77575,120,3,145,2020-04-12 06:26:20,36.563114166259766,103.73580932617188,world
6,UK,ইউনাইটেড কিংডম,78991,9875,0,0,1897,13914,2020-04-12 06:26:20,53.943838,-2.550564,world
7,iran,ইরান,70029,4357,41947,9628,247,2743,2020-04-12 06:26:20,32.564263,54.303672,world
8,turkey,তুর্কি,52167,1101,2965,542,95,5138,2020-04-12 06:26:20,39.055697,35.109188,world
9,belgium,বেলজিয়াম,28018,3346,5986,418,327,1351,2020-04-12 06:26:20,50.64118576049805,4.660569190979004,world
10,switzerland,সুইজারল্যান্ড,25107,1036,12100,1000,34,556,2020-04-12 06:26:20,46.80021,8.229198,world
11,netherlands,নেদারল্যান্ডস,24413,2643,0,0,247,2651,2020-04-12 06:26:20,52.34225845336914,5.5281572341918945,world
12,canada,কানাডা,23318,653,6458,1147,84,1170,2020-04-12 06:26:20,56.130366,-106.346771,world
13,brazil,ব্রাজিল,20964,1141,0,0,67,1021,2020-04-12 06:26:20,-10.776797,-53.068056,world
14,portugal,পোর্তুগাল,15987,470,266,33,35,515,2020-04-12 06:26:20,39.679908,-7.968665,world
15,austria,অস্ট্রিয়া,13806,337,6604,540,18,246,2020-04-12 06:26:20,47.587086,14.141286,world
16,russia,রাশিয়া,13584,106,1045,250,12,1667,2020-04-12 06:26:20,61.760191,99.876844,world
17,israel,ইজরায়েল,10743,101,1341,280,8,648,2020-04-12 06:26:20,31.0,35.0,world
18,southkorea,কোরিয়া,10512,214,7368,125,3,32,2020-04-12 06:26:20,36.451155,127.861144,world
19,sweden,সুইডেন,10151,887,0,0,78,906,2020-04-12 06:26:20,62.821792,16.735385,world
20,ireland,আয়ারল্যান্ড,8928,320,25,0,57,2354,2020-04-12 06:26:20,53.18498611450195,-8.146889686584473,world
21,india,ভারত,8356,273,716,73,34,909,2020-04-12 06:26:20,22.493119,79.727013,world
22,ecuador,ইকুয়েডর,7257,315,411,43,18,96,2020-04-12 06:26:20,-1.46557,-78.397209,world
23,chile,চিলি,6927,73,1864,590,16,955,2020-04-12 06:26:20,-35.232005,-71.218827,world
24,peru,পেরু,6848,181,1739,170,12,951,2020-04-12 06:26:20,-9.171243,-74.356877,world
25,norway,নরওয়ে,6452,119,0,0,6,93,2020-04-12 06:26:20,64.238931,13.950632,world
26,poland,পোল্যান্ড,6356,208,375,57,27,401,2020-04-12 06:26:20,52.129039,19.393702,world
27,australia,অস্ট্রেলিয়া,6301,59,3141,0,3,97,2020-04-12 06:26:20,-25.578937,134.359718,world
28,japan,জাপান,6005,94,762,48,6,658,2020-04-12 06:26:20,36.653334,137.98169,world
29,denmark,ডেনমার্ক,6191,260,1955,182,13,177,2020-04-12 06:26:20,56.262275,9.336356,world
30,romania,রোমানিয়া,5990,282,758,29,25,523,2020-04-12 06:26:20,45.83913040161133,24.98465347290039,world
31,czechia,চেচিয়া,5902,129,411,65,10,170,2020-04-12 06:26:20,49.739106,15.3315,world
32,pakistan,পাকিস্তান,5011,86,762,35,20,316,2020-04-12 06:26:20,29.354203,68.801837,world
33,malaysia,মালয়েশিয়া,4530,73,1995,387,6,302,2020-04-12 06:26:20,3.6054680347442627,114.71072387695312,world
34,philippines,ফিলিপাইন,4428,247,157,17,26,233,2020-04-12 06:26:20,15.948041915893555,121.42259979248047,world
35,saudiarabia,সৌদি আরব,4033,52,720,35,5,382,2020-04-12 06:26:20,24.12412,44.550495,world
36,mexico,মেক্সিকো,3844,233,633,0,39,663,2020-04-12 06:26:20,23.94062,-102.52514,world
37,indonesia,ইন্দোনেশিয়া,3842,327,286,4,21,330,2020-04-12 06:26:20,-0.210123,113.997229,world
