date,case,day,tested
3/8/2020,3,1,9
3/9/2020,0,2,7
3/10/2020,0,3,10
3/11/2020,0,4,10
3/12/2020,0,5,16
3/13/2020,0,6,24
3/14/2020,0,7,24
3/15/2020,2,8,30
3/16/2020,3,9,27
3/17/2020,2,10,49
3/18/2020,4,11,49
3/19/2020,3,12,46
3/20/2020,3,13,36
3/21/2020,4,14,36
3/22/2020,3,15,65
3/23/2020,6,16,56
3/24/2020,6,17,92
3/25/2020,0,18,82
3/26/2020,5,19,126
3/27/2020,4,20,106
3/28/2020,0,21,42
3/29/2020,0,22,109
3/30/2020,1,23,153
3/31/2020,2,24,140
4/1/2020,3,25,157
4/2/2020,2,26,141
4/3/2020,5,27,513
4/4/2020,9,28,434
4/5/2020,18,29,367
4/6/2020,35,30,468
4/7/2020,41,31,792
4/8/2020,54,32,981
4/9/2020,112,33,1097
4/10/2020,94,34,1184
4/11/2020,58,35,954
4/12/2020,139,36,1340
4/13/2020,182,37,1570
4/14/2020,209,38,1905
4/15/2020,219,39,1740
4/16/2020,341,40,2135
4/17/2020,266,41,2190
4/18/2020,306,42,2114
4/19/2020,312,43,2634
4/20/2020,492,44,2779
4/21/2020,434,45,2974
4/22/2020,390,46,3096
4/23/2020,414,47,3416
4/24/2020,503,48,3686
4/25/2020,309,49,3337
4/26/2020,418,50,3476
4/27/2020,497,51,3812

