,date,case,day
34,08/03/2020,3,1
33,09/03/2020,0,2
32,10/03/2020,0,3
31,11/03/2020,0,4
30,12/03/2020,0,5
29,13/03/2020,0,6
28,14/03/2020,0,7
27,15/03/2020,2,8
26,16/03/2020,3,9
25,17/03/2020,2,10
24,18/03/2020,4,11
23,19/03/2020,3,12
22,20/03/2020,3,13
21,21/03/2020,4,14
20,22/03/2020,3,15
19,23/03/2020,6,16
18,24/03/2020,6,17
17,25/03/2020,0,18
16,26/03/2020,5,19
15,27/03/2020,4,20
14,28/03/2020,0,21
13,29/03/2020,0,22
12,30/03/2020,1,23
11,31/03/2020,2,24
10,01/04/2020,3,25
9,02/04/2020,2,26
8,03/04/2020,5,27
7,04/04/2020,9,28
6,05/04/2020,18,29
5,06/04/2020,35,30
4,07/04/2020,41,31
3,08/04/2020,54,32
2,09/04/2020,112,33
1,10/04/2020,94,34
0,11/04/2020,58,35
